"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"916",98,95,99,92,98,100,97,93,96,94,96,96,99
"917",50,54,51,74,80,84,50,51,90,88,51,82,50
"918",61,68,70,64,50,76,63,80,66,63,50,50,42
"919",99,100,100,100,100,100,96,96,67,37,81,72,100
"920",100,100,100,78,67,100,91,100,25,100,100,75,42
"921",61,83,78,86,92,79,63,79,46,72,50,60,64
"922",97,79,95,96,100,100,93,100,100,100,93,79,100
"923",61,61,59,54,57,65,57,56,64,56,57,56,55
"924",100,100,100,56,94,69,NA,57,100,98,100,86,62
"925",91,96,95,69,50,94,65,83,66,78,50,50,50
"926",100,100,100,100,100,100,100,100,100,100,100,100,98
"927",62,68,72,58,64,64,58,69,47,68,64,67,66
"928",98,100,100,100,100,100,100,100,100,100,100,99,100
"929",75,69,72,70,64,NA,NA,NA,67,74,52,NA,62
"930",83,100,100,100,100,100,100,100,100,100,100,100,81
"931",100,100,100,100,100,100,100,100,100,100,100,100,100
"932",90,90,86,62,55,56,53,56,72,81,54,55,93
"933",100,100,100,99,98,100,100,100,96,100,99,100,100
"934",94,74,52,100,100,99,100,100,92,88,71,72,100
"935",3,4,NA,3,4,21,4,4,2,4,3,2,3
"936",86,79,94,83,71,83,74,82,73,88,86,74,76
"937",84,87,81,80,80,81,86,82,81,85,80,83,84
"938",100,100,100,90,87,100,88,70,92,95,100,81,86
"939",100,100,100,92,100,100,100,100,97,100,100,100,100
"940",100,100,100,100,100,100,100,100,100,100,100,100,100
"941",65,55,72,51,50,50,50,57,51,52,51,47,51
"942",56,49,51,42,45,52,53,56,55,52,47,56,43
"943",60,100,100,38,57,58,67,58,71,92,79,69,77
"944",20,24,37,20,19,NA,3,19,NA,NA,NA,13,50
"945",75,82,88,91,90,88,77,88,85,75,84,80,88
"946",96,91,98,90,77,92,89,85,84,57,51,32,51
"947",91,95,96,99,99,100,99,100,98,98,99,100,48
"948",100,100,100,100,88,84,92,92,100,85,97,75,100
"949",100,100,100,100,100,100,100,100,100,100,100,100,100
"950",97,99,100,99,98,100,98,100,97,99,87,100,97
"951",100,100,100,97,96,93,81,90,100,93,92,100,92
"952",100,100,100,99,100,98,100,96,100,100,94,100,96
"953",52,53,52,74,68,19,75,39,87,90,74,53,58
"954",87,59,68,74,52,84,67,74,74,79,60,46,69
"955",80,66,67,73,64,36,62,63,56,58,61,63,37
"956",80,72,66,57,55,69,55,NA,54,58,57,57,61
"957",100,98,98,97,78,97,94,98,98,98,96,90,64
"958",92,89,95,80,86,94,87,86,69,77,83,85,67
"959",87,82,81,74,74,80,67,74,100,67,56,99,64
"960",84,68,68,58,57,60,64,57,50,65,65,59,62
"961",80,83,78,71,67,62,74,70,67,71,74,82,61
"962",65,73,79,93,88,76,100,90,82,82,56,82,48
"963",100,100,100,100,100,100,99,100,100,100,100,100,100
"964",100,100,100,100,100,100,100,100,100,100,100,100,100
"965",100,93,100,97,100,63,90,94,92,98,100,95,87
"966",97,96,96,64,70,97,94,96,6,68,66,64,13
"967",100,100,93,87,72,100,100,86,100,100,88,91,100
"968",100,100,100,95,94,96,100,100,74,69,97,71,80
"969",83,82,89,56,55,77,70,75,57,84,90,69,50
"970",56,54,54,57,56,53,46,54,55,54,22,39,39
"971",93,81,75,46,55,75,28,75,90,98,95,81,62
"972",87,79,91,83,82,100,100,90,93,100,90,46,86
"973",NA,65,71,NA,12,NA,NA,77,62,52,NA,17,24
"974",100,100,100,100,100,100,95,82,92,100,93,62,100
"975",100,91,95,97,96,98,94,100,77,100,98,100,94
"976",99,97,97,97,87,100,92,100,99,99,97,91,100
"977",100,100,100,82,42,100,80,77,69,82,97,37,90
"978",95,96,97,92,93,100,75,100,89,90,88,92,83
"979",98,98,97,94,96,98,96,96,87,95,93,92,98
"980",91,84,88,14,17,95,29,43,27,23,58,73,42
"981",100,100,100,100,100,100,100,100,100,100,100,88,100
"982",98,98,97,89,86,99,98,98,99,98,99,97,97
"983",77,62,65,65,68,58,NA,65,65,76,60,77,53
"984",100,100,100,96,94,100,100,100,95,89,83,86,77
"985",99,98,100,100,90,100,100,100,93,100,100,95,100
"986",61,38,33,64,63,44,63,41,39,62,62,40,36
"987",NA,NA,NA,81,77,51,64,66,85,NA,79,NA,28
"988",55,60,58,62,62,59,57,60,61,65,59,60,60
"989",100,100,100,100,100,100,100,100,100,100,100,100,100
"990",82,63,50,65,59,72,64,64,62,82,50,58,33
"991",52,51,54,63,57,55,55,56,61,35,57,57,43
"992",87,59,100,54,55,57,54,54,8,91,100,51,44
"993",75,80,80,78,68,91,92,80,58,67,59,53,56
"994",100,100,100,99,100,100,100,100,100,100,100,94,100
"995",98,100,100,100,100,100,100,100,100,100,96,99,98
"996",96,80,82,78,50,100,90,91,76,71,76,83,64
"997",100,100,100,44,100,82,99,76,60,100,99,86,50
"998",97,86,96,83,72,79,75,85,80,79,65,57,61
