"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"154",5,4,3,5,3,2,3,3,1,4,3,2,4,5,3,2,3,2,5,4,2,5,3,1,4,3,3,2,4,3,3,3,2,2,3,4,3,3,5,4,3,4,4,4
"155",4,4,4,5,3,3,5,5,2,3,4,4,5,5,3,4,5,5,5,4,3,3,3,1,3,3,2,3,5,4,3,4,4,2,3,4,4,4,5,3,3,4,5,3
"156",4,2,4,2,3,2,3,2,2,4,4,3,4,2,3,3,4,2,3,3,2,4,4,3,2,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,2,4,4,4
"157",3,2,5,2,4,3,5,4,4,4,2,1,5,3,4,2,3,2,2,3,4,4,3,4,4,4,1,5,3,5,4,5,5,4,3,3,2,4,3,4,2,5,3,4
"158",2,2,4,2,3,3,3,2,4,4,3,1,5,2,3,3,2,1,2,2,4,5,2,4,2,3,2,3,2,1,2,3,3,4,5,2,2,4,2,2,1,3,1,2
"159",4,2,5,1,3,4,5,1,3,4,4,1,5,2,2,4,5,1,5,3,3,5,1,3,2,2,1,2,3,2,2,5,5,4,4,5,2,4,3,2,4,4,3,2
"160",5,2,5,2,4,2,5,2,4,4,5,1,5,3,4,5,5,2,4,3,3,4,4,4,3,4,1,4,2,3,4,5,4,3,2,4,2,4,4,3,3,4,3,4
"161",2,2,3,4,2,4,4,3,2,3,1,2,3,3,2,1,4,3,4,2,5,4,5,2,2,2,1,2,4,3,4,4,3,3,3,2,3,3,4,3,3,3,3,2
"162",4,1,5,1,4,2,4,3,4,4,4,2,4,2,4,4,4,1,2,5,2,4,1,2,4,4,1,4,3,4,2,5,4,4,2,4,2,4,2,4,2,5,2,3
"163",4,3,5,3,3,2,5,2,4,5,3,3,5,3,2,4,5,3,1,3,2,5,4,4,2,5,3,5,3,3,4,5,4,5,5,5,4,5,3,3,3,4,4,3
"164",5,2,5,2,5,2,4,2,4,5,5,2,5,2,5,5,4,2,2,4,4,5,4,4,5,3,1,5,4,3,4,4,5,4,5,5,2,5,4,4,2,5,3,2
"165",5,2,5,1,4,2,5,2,4,5,5,2,5,1,5,5,4,3,1,3,1,5,4,4,3,5,1,3,4,4,1,5,5,5,2,5,2,5,1,4,3,4,4,2
"166",4,4,4,1,2,4,5,3,4,4,4,3,4,1,3,4,5,2,3,4,4,5,3,4,2,4,1,2,4,4,4,4,4,3,4,4,3,5,5,3,2,4,4,4
"167",3,2,3,1,5,3,5,3,5,5,5,1,2,1,5,5,5,4,1,5,3,4,3,5,5,5,1,3,1,3,2,5,4,5,1,5,1,4,2,5,4,4,2,4
"168",2,1,5,1,4,1,4,1,4,5,4,1,5,2,5,5,4,1,2,4,4,4,1,5,4,4,1,5,4,2,2,5,5,4,4,4,1,5,5,4,4,5,4,4
"169",3,4,3,3,4,4,4,5,2,3,2,4,3,4,4,3,4,4,4,4,5,3,5,2,4,4,4,2,4,5,5,4,2,2,1,1,4,2,4,2,2,3,5,5
"170",2,2,4,2,2,4,4,3,3,3,2,1,5,4,2,2,4,3,4,3,5,5,5,2,3,2,2,2,4,3,5,5,4,1,3,2,2,2,5,4,3,4,4,3
"171",4,3,5,2,3,2,4,2,3,5,5,1,5,3,3,4,5,2,5,5,2,5,1,3,3,4,1,4,3,4,2,4,4,3,4,5,1,5,4,4,2,4,2,5
"172",5,3,5,1,3,2,4,1,4,5,5,2,5,2,2,5,3,1,2,5,3,5,1,4,3,3,1,4,1,2,2,4,4,3,5,5,1,4,3,4,3,5,2,1
"173",4,4,4,3,3,2,3,4,3,4,4,2,5,3,2,3,4,3,4,2,3,4,4,3,2,3,1,2,4,2,3,4,3,2,3,4,4,4,2,3,2,4,2,1
"174",5,1,5,1,4,3,5,1,3,3,4,1,5,2,2,4,4,1,2,3,3,5,1,2,2,5,1,3,3,5,4,5,4,4,3,4,1,4,3,3,1,5,2,5
"175",4,1,5,1,4,1,5,2,5,5,5,1,5,2,4,3,5,1,1,4,3,5,1,4,3,4,1,5,4,3,3,4,4,4,4,3,1,5,1,3,3,4,2,3
"176",4,4,5,2,4,2,4,2,4,4,4,3,4,4,3,4,4,2,4,4,3,4,4,3,4,3,2,4,2,4,3,4,4,4,3,4,3,4,4,4,3,4,2,2
"177",4,2,4,3,3,3,4,2,2,3,3,2,4,4,3,3,4,2,4,3,4,3,4,2,3,3,2,3,4,3,3,4,4,1,3,4,3,4,4,3,3,4,4,3
"178",5,2,5,2,4,4,4,3,4,4,4,2,4,4,4,4,4,4,2,4,3,4,3,4,4,4,2,3,3,4,3,4,4,4,4,4,4,4,2,4,1,4,3,5
"179",5,2,4,1,5,4,4,3,5,5,4,1,5,2,4,4,5,2,2,5,2,4,2,4,4,5,2,4,2,5,1,5,4,5,3,4,1,4,1,4,1,4,2,4
"180",4,2,4,3,4,4,4,4,4,4,4,3,5,4,4,4,4,3,4,2,3,4,3,3,3,4,2,4,4,3,2,5,4,4,4,5,3,3,3,4,5,4,4,1
"181",4,1,5,1,4,4,4,3,4,4,5,1,5,1,4,5,5,2,1,4,3,4,1,4,4,5,1,5,1,4,2,4,5,4,3,5,1,5,1,4,1,5,1,4
"182",4,3,3,2,4,2,3,4,3,4,3,3,3,3,3,4,4,3,3,4,2,3,4,4,4,4,2,3,4,4,2,3,3,3,2,4,3,3,3,4,2,4,4,4
"183",3,2,3,3,5,2,4,4,2,4,4,2,4,4,3,5,4,4,4,4,3,4,4,4,4,4,2,3,4,4,3,4,3,2,3,4,4,3,4,4,4,4,4,4
"184",4,2,4,2,2,3,4,3,2,4,3,2,4,4,4,3,2,3,5,3,4,3,3,2,2,4,2,3,4,4,3,4,4,4,4,4,3,4,3,2,4,4,3,3
"185",5,4,5,1,3,2,5,4,3,5,5,3,5,5,4,5,5,1,4,4,1,5,1,3,4,5,4,5,4,5,1,5,5,4,3,5,4,5,4,5,1,5,4,5
"186",4,4,5,2,5,3,5,4,3,4,4,2,5,3,5,5,1,3,2,4,3,2,2,2,4,4,2,5,3,4,3,4,5,4,4,5,2,4,2,4,2,4,4,4
"187",5,2,5,1,4,4,5,3,3,4,4,1,4,2,5,4,5,1,2,3,3,5,1,5,3,3,1,5,3,3,3,4,4,3,3,4,1,4,3,4,3,4,3,3
"188",4,3,3,1,3,1,4,1,3,4,3,2,5,4,1,4,4,1,4,2,1,5,2,4,2,4,1,3,5,5,2,3,3,3,4,4,4,3,4,3,3,4,2,5
"189",4,4,4,4,4,4,3,4,2,4,3,3,5,4,4,3,4,2,4,4,4,4,3,4,4,4,2,3,4,4,4,4,3,2,4,3,2,4,4,4,2,4,2,2
"190",1,4,3,4,2,4,4,2,1,3,3,1,4,5,4,2,5,1,5,4,5,3,2,2,1,3,1,5,5,3,4,4,4,3,5,4,4,4,5,2,4,4,5,2
"191",3,4,5,1,2,3,4,1,5,4,4,1,5,2,3,3,3,1,1,4,5,5,4,4,3,3,1,4,3,4,5,5,5,5,5,3,1,2,4,3,1,5,4,5
"192",3,2,5,1,5,3,5,2,5,5,5,1,5,1,4,3,5,2,1,5,3,5,1,5,5,4,1,5,1,4,2,5,4,5,2,4,1,4,2,4,3,4,2,3
"193",4,3,5,3,2,4,4,2,4,3,4,2,5,4,4,4,4,2,5,3,4,5,2,3,3,4,3,4,4,4,4,5,4,4,3,4,2,4,4,3,4,4,4,5
"194",4,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,2,4,4,2,4,2,4,4,4
"195",4,2,3,1,3,3,4,3,2,4,5,1,4,3,2,5,5,2,2,4,1,5,2,4,4,4,1,3,3,3,2,4,4,3,3,4,2,3,2,4,3,4,4,2
"196",4,3,4,2,3,3,4,2,4,4,4,3,5,2,4,4,4,3,4,4,4,4,3,4,3,4,2,3,4,4,2,5,5,4,3,4,3,4,4,4,3,4,4,2
"197",4,3,5,1,4,2,5,4,5,5,4,1,5,4,4,3,5,3,2,4,2,5,3,4,4,2,1,3,4,3,3,4,4,5,1,4,1,5,2,4,4,4,2,3
"198",5,1,5,1,4,1,5,1,5,5,5,1,5,1,4,5,5,2,2,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,2,5,1,5,1,5,1,5,1,3
"199",4,4,4,2,3,2,4,3,2,3,3,3,4,4,3,3,4,4,4,4,3,4,3,3,2,4,3,3,4,2,4,3,4,2,4,4,4,4,2,3,4,4,4,2
"200",5,4,5,1,4,3,4,3,3,4,3,4,5,4,4,3,4,4,3,4,2,5,4,4,5,4,3,2,4,4,1,4,5,4,5,4,4,4,2,4,2,4,4,2
"201",3,1,3,1,3,2,5,1,3,3,5,1,3,1,3,5,5,1,4,3,4,4,3,3,3,3,1,3,2,3,2,4,3,3,3,3,1,3,1,3,3,3,1,3
"202",5,4,5,1,4,3,2,4,3,5,5,1,4,5,4,5,5,4,4,5,1,5,1,4,4,5,1,5,4,5,2,5,5,3,3,4,2,5,3,3,1,5,2,5
"203",5,1,5,1,5,1,5,1,5,5,5,1,5,3,3,5,5,1,1,5,1,5,1,5,5,5,1,5,3,4,2,5,5,5,4,5,1,5,1,4,3,5,1,3
"204",4,1,5,2,4,2,5,3,2,5,4,1,5,3,4,5,5,3,3,5,2,5,2,4,4,2,1,2,2,4,2,5,5,2,2,5,1,4,4,5,1,5,4,4
"205",5,3,4,3,5,4,3,4,1,5,5,5,5,5,5,5,4,5,5,5,3,5,5,1,5,2,1,3,5,5,4,5,3,1,2,3,4,5,5,5,1,5,5,3
"206",2,3,5,1,4,4,4,2,4,5,2,1,5,4,5,2,3,1,2,5,2,3,1,5,4,4,4,5,2,1,2,4,5,5,3,2,1,4,2,4,2,4,1,1
"207",4,2,5,1,3,4,4,4,2,5,4,2,5,4,3,4,4,1,5,3,1,4,3,1,3,4,1,4,5,4,2,5,4,2,5,5,4,5,4,3,3,4,4,4
"208",4,3,3,2,4,4,4,3,2,4,4,2,4,3,3,3,3,3,3,4,2,5,2,3,3,4,2,3,4,3,4,5,4,4,3,4,2,4,3,4,4,4,5,1
"209",2,3,3,4,4,4,5,5,3,4,2,3,4,5,5,2,5,4,4,5,5,5,4,3,4,2,3,3,4,1,4,4,2,4,3,1,4,2,3,4,4,2,4,3
"210",5,3,5,2,3,3,4,1,3,4,4,2,5,2,4,4,5,4,2,3,2,4,2,2,3,4,1,3,2,4,3,4,5,4,2,5,1,3,2,3,2,4,4,4
"211",4,4,5,1,5,3,4,4,4,4,5,3,5,4,3,5,5,4,2,4,4,5,1,5,3,3,1,3,2,5,5,5,4,4,5,5,3,5,3,4,1,5,4,5
"212",3,4,2,3,2,4,4,5,3,3,4,1,3,4,3,5,5,5,4,5,2,5,5,3,3,1,1,3,3,3,4,4,4,3,4,4,3,2,4,4,3,5,5,3
"213",3,3,4,2,4,3,4,3,3,5,4,3,4,4,3,4,4,1,3,5,4,4,2,4,4,3,2,4,4,4,4,4,4,3,2,4,3,4,3,4,2,4,3,4
"214",5,3,5,4,5,3,5,4,2,5,5,3,5,4,5,5,5,5,5,4,2,5,4,2,3,4,3,4,5,5,4,5,5,4,4,5,4,4,4,4,1,4,4,5
"215",3,4,4,2,3,1,5,5,5,5,5,1,5,3,5,5,4,2,4,4,3,4,4,4,4,4,1,4,4,3,3,5,5,5,2,4,3,3,3,4,2,3,3,1
"216",5,1,5,4,4,4,5,1,2,4,5,1,5,4,3,4,5,1,4,3,4,5,1,2,3,4,1,5,4,3,4,5,5,2,3,4,1,5,4,3,2,5,4,3
"217",5,4,3,2,4,3,4,3,3,4,3,2,4,4,3,3,2,3,2,4,3,4,4,4,3,4,4,3,4,3,3,3,3,2,1,4,3,4,3,4,4,4,3,2
"218",5,3,5,1,5,4,5,1,2,5,5,1,5,2,4,4,5,1,2,5,2,5,2,2,5,5,1,3,1,5,4,5,5,2,4,5,1,5,2,5,1,5,4,5
"219",4,2,4,1,3,2,4,4,4,5,4,2,4,3,3,4,4,3,2,4,3,4,3,4,3,4,2,3,2,4,3,4,4,3,2,4,2,4,2,4,2,5,2,5
"220",3,2,3,1,3,2,4,1,5,5,5,3,3,2,3,3,2,1,4,3,3,3,1,1,2,3,2,3,3,4,2,3,2,4,3,5,1,3,2,3,2,3,4,3
"221",4,3,4,2,3,4,5,2,4,4,4,1,5,4,4,5,4,2,4,5,2,5,2,3,3,2,1,4,4,3,4,5,4,3,4,4,1,4,4,4,3,5,4,3
"222",3,4,4,1,4,2,4,2,4,4,4,1,5,2,4,4,5,1,3,3,2,4,1,3,3,4,1,2,2,3,1,4,4,3,4,5,1,5,3,4,2,4,4,3
"223",5,1,3,2,3,3,4,4,4,5,5,1,3,2,4,4,4,5,1,3,2,5,5,4,3,4,1,2,2,3,2,5,3,4,3,5,2,3,1,4,2,4,3,1
"224",4,2,5,1,4,4,5,4,4,5,4,1,5,3,4,4,4,2,1,5,4,5,1,4,4,4,2,4,4,5,4,5,5,4,3,5,4,4,2,4,5,5,4,5
"225",2,1,5,1,3,3,4,2,5,5,5,1,5,2,5,4,4,1,2,3,4,3,1,5,3,3,1,5,2,4,4,4,5,4,1,4,2,5,2,2,1,4,1,5
"226",4,2,4,1,4,1,5,4,5,5,5,1,5,2,4,5,5,2,2,4,1,5,2,5,4,3,1,4,2,5,2,5,5,5,2,5,2,5,4,4,1,5,3,5
"227",4,4,5,1,4,3,4,4,5,5,5,3,5,2,3,5,4,4,2,4,4,4,4,4,3,4,4,5,4,3,4,4,5,5,1,4,4,5,3,3,3,3,4,3
"228",3,2,4,4,5,3,4,4,2,5,4,3,4,5,4,4,4,3,3,5,3,4,3,3,5,4,4,4,4,5,5,5,5,4,3,3,2,4,3,5,1,2,4,4
